#Tax Id	C1	C2	C3	C4	C5	C6	T1	T2	T3	T4	T5	T6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	3.098974	4.786971	2.359173	2.488351	2.775666	2.224608	3.254760	5.282990	3.708488	3.305031	2.842166	2.095273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp	3.672704	3.050102	2.734144	1.686097	1.804337	2.012677	3.968510	2.562583	3.472267	2.528431	3.327478	2.275815
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola_dorei	2.352133	1.716642	2.369377	1.222241	1.121949	1.368275	2.140042	1.559876	2.958055	1.133650	1.634659	1.345440
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile	1.481690	2.059734	0.914827	1.019998	2.021546	1.257073	1.386198	0.531398	0.285829	2.465798	1.015569	2.181731
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.943126	2.176320	1.423493	0.998167	0.521970	0.820181	0.744147	0.870430	3.646218	0.760006	1.036018	0.990308
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	1.245196	0.949984	0.542819	0.925775	0.556157	1.078468	1.404058	4.209770	18.658562	0.686179	1.032708	0.620971
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola_vulgatus	5.810394	4.147577	36.273815	0.848526	1.027959	1.279867	3.296160	3.503548	10.552520	0.573168	4.381567	1.975477
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.603487	0.841992	0.362897	0.455201	1.344416	1.110007	0.849441	0.220067	0.452269	0.848606	0.504192	0.711102
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	1.442370	1.435011	1.007863	1.514677	1.777191	1.810202	1.540533	0.756261	0.164687	2.667011	2.064729	2.053799
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp	1.532296	1.765811	1.266050	0.635639	1.279680	0.822545	1.972616	0.588003	0.154421	2.379251	0.657561	1.559343
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	1.047317	4.000642	9.407150	1.160829	0.617234	0.238626	0.716786	2.701990	1.453009	1.610998	1.774665	0.524469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola_coprophilus	1.525843	3.459986	0.422514	0.327547	0.924936	2.563308	3.615145	2.370749	0.132986	0.858642	2.735359	1.440826
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Intestinimonas|s__Intestinimonas_butyriciproducens	1.024405	0.474523	0.820009	0.273886	0.510505	0.291979	1.256123	0.292595	0.680260	0.866890	1.530476	3.307922
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.361037	0.579008	0.316713	0.263086	0.926534	0.705481	0.551058	0.229435	0.650497	0.671704	0.301098	0.508103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.756194	1.559775	1.138505	0.240325	0.716899	0.245814	0.733699	2.678297	7.295180	0.514344	1.452308	1.002861
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	1.494492	0.562497	1.447777	0.228983	0.282155	0.494549	1.141589	1.202214	2.913966	0.584794	1.069364	0.723958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola_salanitronis	0.737253	0.997695	0.321770	0.223532	0.318959	0.709747	1.128366	0.869311	0.109429	0.402228	0.866614	0.467396
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Flintibacter|s__Flintibacter_sp	1.008337	1.336464	0.417167	2.901673	5.789988	1.292917	3.630099	0.316319	0.093578	2.827717	1.109748	2.031597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_saccharolytica	0.428520	0.498084	0.326404	0.215057	0.565283	0.323210	0.440180	0.175570	0.151537	0.679620	0.280747	0.518797
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0.605133	0.519369	0.182061	0.524958	0.310759	0.459782	0.684039	0.486006	0.272875	0.309620	0.591163	0.352250
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	2.817413	1.070651	0.693422	27.389226	1.483293	29.395401	4.230457	0.722699	0.088756	1.598842	3.778782	0.685576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium]_scindens	0.698690	0.560101	0.232812	0.209761	1.137027	0.234859	0.398193	0.120926	0.095026	0.612781	0.210303	0.550530
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_plautii	0.940279	0.776884	0.764959	0.357232	0.730147	0.492474	1.071229	0.622812	0.086165	1.007093	1.171292	0.910893
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_clostridioformis	0.327804	0.727524	2.387066	0.201804	0.413319	0.234859	0.473483	0.774455	1.686127	0.725262	0.342708	0.435872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0.450571	0.322223	0.230450	0.199633	0.428814	0.246756	0.372824	0.204826	0.220370	3.133726	0.469743	0.594747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_viscericola	0.420526	0.427993	0.244708	0.185579	0.268142	0.289788	0.508711	0.440816	0.082333	0.265469	0.607174	0.304499
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp	1.043921	0.416187	0.158624	2.653184	0.339758	2.881732	0.345268	0.203899	0.181866	1.504479	0.751054	1.599352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_dentalis	1.590505	0.726239	0.432606	1.102828	0.595717	0.999189	1.017782	0.673683	0.076030	0.481355	0.974695	0.398164
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis	0.669403	0.772543	0.531301	0.230145	0.568131	0.331666	0.949414	0.274114	0.073058	0.878747	0.395253	0.890737
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_larvae	1.319238	0.946998	0.142249	0.622824	1.410844	1.316979	1.675179	0.346929	0.075050	2.764587	1.717093	2.312570
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia	1.146178	0.681097	0.326738	1.089419	0.637037	0.985774	0.797463	0.456824	0.068202	0.456580	0.801147	0.382449
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp	0.294441	0.350106	0.129194	0.670388	0.836737	0.534795	0.296359	0.072070	0.083770	0.528785	0.692550	0.332048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.618666	0.614062	0.393507	0.380872	0.229902	0.450614	0.497447	0.342634	1.724404	0.190515	0.378310	0.208718
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.319810	0.350749	0.135900	0.229474	0.578994	0.407371	0.272688	0.073007	0.062160	0.413058	0.521895	0.330629
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.734823	0.384101	0.125384	0.154421	0.180313	0.285867	1.175022	18.019946	7.414406	0.488807	0.522557	0.370569
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_zoogleoformans	0.625955	0.286631	0.123713	0.274557	0.181518	0.248851	0.753354	0.302102	0.292209	0.410442	0.387333	0.332838
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ruminicola	1.093822	0.585918	0.350487	0.786856	0.478913	0.834249	0.776372	0.347558	0.058808	0.428791	0.977662	0.347228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus_pleomorphus	1.039375	0.699223	0.493048	0.753037	1.100339	0.952371	0.775262	0.628088	0.054758	0.568895	0.993207	0.496177
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	1.820572	1.070529	1.237511	0.129799	0.379642	0.108377	0.268770	0.692899	1.208384	0.549354	1.191937	0.797258
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_heparinolyticus	0.562495	0.294339	0.110769	0.197541	0.191153	0.261459	0.735462	0.317609	0.361173	0.370001	0.380860	0.288458
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_maltosivorans	0.419611	0.422663	0.280087	0.199349	0.527946	0.354653	0.384382	0.157174	0.054083	0.453798	0.191619	0.469837
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae	0.389566	0.435754	0.493694	0.125097	0.436921	0.378926	0.467769	0.584411	0.883082	0.509210	1.396159	0.334419
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.283207	0.429712	0.106581	0.147057	1.028862	0.255827	0.244904	0.053194	0.055651	0.338270	0.257037	0.290829
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.312416	0.258539	0.153032	0.128533	0.107099	0.228498	0.412330	0.239123	0.414374	0.215455	0.261450	0.177473
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.927555	1.133727	0.581829	0.289180	1.319379	0.082643	0.505479	0.278441	0.267203	2.474409	1.200175	0.474719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_valericigenes	0.420369	0.546107	0.386267	0.159071	0.373898	0.223135	0.623507	0.172692	0.046179	0.561575	0.195101	0.465838
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_helcogenes	0.419742	0.271283	0.162344	0.106263	0.111917	0.195844	0.562093	0.287479	0.653665	0.346882	0.311666	0.237638
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	0.289425	0.392453	0.155282	0.105565	0.495775	0.311121	0.297078	0.125818	0.121774	0.413092	0.267556	0.310427
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_sp	0.364773	0.601909	0.183531	0.318711	0.306729	0.229747	0.391826	0.303061	0.043937	0.155870	0.460842	0.249216
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	1.639648	0.363684	0.696341	0.102465	1.202968	0.152562	0.485759	0.710389	0.067723	3.792646	0.987126	16.670983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_megaguti	0.187716	0.167648	0.130129	0.188317	0.179178	0.182679	0.208206	0.165658	0.042010	0.228108	0.347195	0.172429
